ID	Name	ID	Buy Vol	Buy Avg	Buy Max	Buy Min	Buy StdDev	Buy Median	Buy Percentile	Sell Vol	Sell Avg	Sell Max	Sell Min	Sell StdDev	Sell Median	Sell Percentile							30002510
1226	Jaspet	1226	1,000,000.00	260.01	260.01	260.01	0.00	260.01	260.01	2,550.00	817.62	900.00	454.00	210.25	900.00	454.00							
1227	Omber	1227	11,987,456.00	29.61	85.28	20.07	27.85	20.07	85.28	2,093,882.00	135.69	137.00	129.99	3.42	136.94	129.99							
1228	Scordite	1228	69,000,000.00	19.77	25.93	12.23	4.85	25.85	25.92	6,179,774.00	31.27	32.00	30.11	0.42	31.21	30.73							
1229	Gneiss	1229	140,000.00	400.05	400.05	400.05	0.00	400.05	400.05	7,783.00	2,157.11	2,900.00	1,400.01	665.13	1,599.99	1,400.01							
1230	Veldspar	1230	99,900,000.00	14.77	17.14	13.08	1.71	13.08	17.14	12,911,317.00	21.40	30.00	19.98	3.19	21.24	20.47							
1231	Hemorphite	1231	300,000.00	360.33	360.33	360.33	0.00	360.33	360.33	13,971.00	3,099.86	3,199.00	3,000.00	99.50	3,199.00	3,000.00							
1232	Dark Ochre	1232	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
1944	Bestower	1944	284.00	593,868.09	1,051,700.00	105,113.65	432,719.70	1,050,022.83	1,051,619.71	42.00	1,557,332.94	2,050,000.15	1,197,999.85	335,195.16	1,712,199.36	1,197,999.85							
2006	Omen	2006	98.00	3,362,830.64	10,620,000.01	129,948.02	4,298,633.75	129,948.02	10,620,000.00	37.00	12,578,450.90	16,998,999.99	11,679,989.48	2,234,906.96	11,679,989.89	11,679,989.48							
2073	Microorganisms	2073	1,000,000.00	0.42	0.42	0.42	0.00	0.42	0.42	8,054,299.00	2.50	2.50	2.30	0.08	2.50	2.50							
2078	Zephyr	2078	60.00	13,508,180.18	22,010,102.00	2,999,999.63	6,014,993.32	16,055,002.50	22,010,102.00	9.00	67,666,666.57	125,000,000.00	34,000,000.00	35,179,302.68	63,499,999.78	34,000,000.00							
2161	Crucifier	2161	380.00	100,006.15	100,007.07	100,005.22	0.59	100,006.16	100,007.07	222.00	469,344.32	650,000.00	399,998.79	119,574.40	399,999.00	399,998.79							
2267	Base Metals	2267	111,000,000.00	0.38	2.50	0.16	0.96	0.16	2.50	999,969.00	5.20	5.20	5.20	0.00	5.20	5.20							
2268	Aqueous Liquids	2268	121,000,000.00	0.50	2.00	0.18	0.85	0.18	2.00	650,000.00	2.50	2.50	2.50	0.00	2.50	2.50							
